host,tranco_rank,score,grade,is_shop,edge,measured_at,check_parity,check_nojs,check_robots,check_structured,check_signal,check_discovery,check_semantic,bot_amazonbot,bot_applebot,bot_applebot-extended,bot_bytespider,bot_claudebot,bot_google-extended,bot_gptbot,bot_meta-externalagent,bot_oai-searchbot,bot_perplexitybot
outbackaccounting.com.au,,100,A+,1,,2026-09-21,100,100,100,100,98,100,95,served,served,robots-allowed,served,served,robots-allowed,served,served,served,served
cmux.dev,,100,A+,0,Vercel,2026-09-19,100,100,100,100,96,100,100,,,,,served,robots-allowed,served,,served,served
spotmedia.ro,,100,A+,0,Cloudflare,2026-09-19,100,100,100,100,95,100,100,served,,,,served,robots-allowed,served,served,served,served
cambiocolombia.com,,100,A+,0,Cloudflare,2026-09-19,100,100,100,100,100,100,100,served,,,,served,robots-allowed,served,served,served,served
press.lv,,100,A+,0,,2026-09-19,100,100,100,100,98,100,99,served,,,,served,robots-allowed,served,served,served,served
haberler.com,1372,99,A+,0,Cloudflare,2026-09-22,100,100,100,100,86,100,99,served,served,robots-allowed,served,served,robots-allowed,served,served,served,served
colorlib.com,3590,99,A+,0,Cloudflare,2026-09-21,100,100,100,100,90,100,100,served,served,robots-allowed,served,served,robots-allowed,served,served,served,served
dynadot.com,4775,99,A+,1,Cloudflare,2026-09-21,100,100,100,100,93,100,99,served,served,robots-allowed,served,served,robots-allowed,served,served,served,served
creativethemes.com,7558,99,A+,1,Cloudflare,2026-09-21,100,100,100,100,94,100,93,served,served,robots-allowed,served,served,robots-allowed,served,served,served,served
reason.com,10780,99,A+,1,,2026-09-21,100,100,100,100,87,100,98,served,served,robots-allowed,served,served,robots-allowed,served,served,served,served
gong.io,15234,99,A+,0,Cloudflare,2026-09-13,100,100,100,100,91,100,93,,,,,served,robots-allowed,served,,served,served
vedayuonline.com,,99,A+,0,Cloudflare,2026-09-22,100,100,100,100,88,100,100,served,served,robots-allowed,served,served,robots-allowed,served,served,served,served
canaltech.com.br,,99,A+,0,,2026-09-19,100,100,100,100,88,100,97,,,,,served,robots-allowed,served,,served,served
fogaonet.com,,99,A+,0,Cloudflare,2026-09-19,100,100,100,100,86,100,100,,,,,served,robots-allowed,served,,served,served
adminforge.de,,99,A+,0,,2026-09-19,100,100,100,100,90,100,98,,,,,served,robots-allowed,served,,served,served
skymesh.net.au,,99,A+,0,Cloudflare,2026-09-19,100,100,100,100,89,100,99,,,,,served,robots-allowed,served,,served,served
indoleads.com,,99,A+,0,Cloudflare,2026-09-19,100,100,100,100,98,100,85,,,,,served,robots-allowed,served,,served,served
1filmyfly.online,,99,A+,0,,2026-09-19,100,100,100,100,98,100,85,,,,,served,robots-allowed,served,,served,served
dash0.com,,99,A+,0,Vercel,2026-09-19,100,100,100,100,87,100,100,,,,,served,robots-allowed,served,,served,served
thesouthafrican.com,,99,A+,0,AWS CloudFront,2026-09-19,100,100,100,100,88,100,100,,,,,served,robots-allowed,served,,served,served
getgrav.org,,99,A+,0,Cloudflare,2026-09-19,100,100,100,100,89,100,100,,,,,served,robots-allowed,served,,served,served
leadinfo.com,,99,A+,0,,2026-09-19,100,100,100,100,89,100,97,,,,,served,robots-allowed,served,,served,served
server-eye.de,,99,A+,0,,2026-09-19,100,100,100,100,91,100,90,,,,,served,robots-allowed,served,,served,served
one.nz,,99,A+,0,AWS CloudFront,2026-09-19,100,100,100,100,99,100,81,served,,,,served,robots-allowed,served,served,served,served
gcaptain.com,,99,A+,0,Cloudflare,2026-09-19,100,100,100,100,93,100,100,served,,,,served,robots-allowed,served,served,served,served
wpbeaverbuilder.com,,99,A+,1,Cloudflare,2026-09-19,100,100,100,100,90,100,97,served,,,,served,robots-allowed,served,served,served,served
movistarplus.es,,99,A+,1,,2026-09-19,100,100,100,100,89,100,93,served,,,,served,robots-allowed,served,served,served,served
totaldefense.com,,99,A+,0,Cloudflare,2026-09-19,100,100,100,100,90,100,98,served,,,,served,robots-allowed,served,served,served,served
gluroo.com,,99,A+,0,,2026-09-19,100,100,100,100,95,100,96,served,,,,served,robots-allowed,served,served,served,served
octorate.com,,99,A+,0,,2026-09-19,100,100,100,100,92,100,95,served,,,,served,robots-allowed,served,served,served,served
bun.com,,99,A+,0,Cloudflare,2026-09-19,100,100,100,100,97,100,85,served,,,,served,robots-allowed,served,served,served,served
nextapple.com,,99,A+,0,AWS CloudFront,2026-09-19,100,100,100,100,94,100,99,served,,,,served,robots-allowed,served,served,served,served
srugim.co.il,,99,A+,0,Cloudflare,2026-09-19,100,100,100,100,91,100,99,served,,,,served,robots-allowed,served,served,served,served
bmmagazine.co.uk,,99,A+,0,,2026-09-19,100,100,100,100,90,100,99,served,,,,served,robots-allowed,served,served,served,served
singularity-app.ru,,99,A+,0,,2026-09-19,100,100,100,100,93,100,88,served,,,,served,robots-allowed,served,served,served,served
wabetainfo.com,,99,A+,1,Cloudflare,2026-09-19,100,100,100,100,95,100,80,served,,,,served,robots-allowed,served,served,served,served
cside.com,,99,A+,1,Cloudflare,2026-09-20,100,100,100,100,86,100,100,served,served,robots-allowed,served,served,robots-allowed,served,served,served,served
facturatech.co,,99,A+,1,,2026-09-20,100,100,100,100,89,100,93,served,served,robots-allowed,served,served,robots-allowed,served,served,served,served
netlify.app,946,98,A+,0,Netlify,2026-09-22,100,100,100,100,77,100,100,served,served,robots-allowed,served,served,robots-allowed,served,served,served,served
elementor.com,3707,98,A+,1,Cloudflare,2026-09-21,100,100,100,100,86,100,86,served,served,robots-allowed,served,served,robots-allowed,served,served,served,served
helpshift.com,3994,98,A+,0,Cloudflare,2026-09-21,100,100,100,100,82,100,100,served,served,robots-allowed,served,served,robots-allowed,served,served,served,served
netlify.com,4224,98,A+,0,Netlify,2026-09-21,100,100,100,100,77,100,100,served,served,robots-allowed,served,served,robots-allowed,served,served,served,served
ngrok.com,6998,98,A+,0,,2026-09-21,100,100,100,100,84,100,97,served,served,robots-allowed,served,served,robots-allowed,served,served,served,served
adskeeper.com,10725,98,A+,0,Cloudflare,2026-09-21,100,100,100,100,87,100,77,served,served,robots-allowed,served,served,robots-allowed,served,served,served,served
siteorigin.com,11093,98,A+,0,Cloudflare,2026-09-22,100,100,100,100,85,100,88,served,served,robots-allowed,served,served,robots-allowed,served,served,served,served
coralogix.com,11168,98,A+,0,Cloudflare,2026-09-22,100,100,100,100,86,100,90,served,served,robots-allowed,served,served,robots-allowed,served,served,served,served
superwall.com,11434,98,A+,0,Cloudflare,2026-09-22,100,100,100,100,83,100,88,served,served,robots-allowed,served,served,robots-allowed,served,served,served,served
superwall.me,11871,98,A+,0,Cloudflare,2026-09-15,100,100,100,100,85,100,88,,,,,served,robots-allowed,served,,served,served
gotolstoy.com,13003,98,A+,0,AWS CloudFront,2026-09-13,100,100,100,100,86,100,94,,,,,served,robots-allowed,served,,served,served
refinery89.com,13980,98,A+,0,,2026-09-13,100,100,100,100,85,100,81,,,,,served,robots-allowed,served,,served,served
castandcrew.com,14106,98,A+,0,Cloudflare,2026-09-13,100,100,100,100,84,100,90,,,,,served,robots-allowed,served,,served,served
taxfoundation.org,14859,98,A+,0,AWS CloudFront,2026-09-13,100,100,100,100,76,100,99,,,,,served,robots-allowed,served,,served,served
wazuh.com,17255,98,A+,0,AWS CloudFront,2026-09-13,100,100,100,100,83,100,88,,,,,served,robots-allowed,served,,served,served
waterseal.in,,98,A+,1,,2026-09-21,100,100,100,100,83,100,100,served,served,robots-allowed,served,served,robots-allowed,served,served,served,served
academicenclave.com,,98,A+,1,,2026-09-21,100,100,100,100,83,100,84,served,served,robots-allowed,served,served,robots-allowed,served,served,served,served
thebanarasistyle.in,,98,A+,1,,2026-09-22,100,100,100,100,82,100,93,served,served,robots-allowed,served,served,robots-allowed,served,served,served,served
theprintmania.com,,98,A+,0,,2026-09-22,100,100,100,100,81,100,97,served,served,robots-allowed,served,served,robots-allowed,served,served,served,served
varify.io,,98,A+,1,Cloudflare,2026-09-21,100,100,100,100,91,100,74,served,served,robots-allowed,served,served,robots-allowed,served,served,served,served
filepicker.io,,98,A+,1,Fastly,2026-09-21,100,100,100,100,83,100,93,served,served,robots-allowed,served,served,robots-allowed,served,served,served,served
pvideo.cz,,98,A+,0,Cloudflare,2026-09-19,100,100,100,100,87,100,83,,,,,served,robots-allowed,served,,served,served
profession.hu,,98,A+,0,,2026-09-19,100,100,100,100,83,100,94,,,,,served,robots-allowed,served,,served,served
yonogamesstore.com,,98,A+,1,Cloudflare,2026-09-21,100,100,100,100,99,100,70,served,served,robots-allowed,served,served,robots-allowed,served,served,served,served
laughingsquid.com,,98,A+,1,,2026-09-19,100,100,100,100,81,100,100,served,,,,served,robots-allowed,served,served,served,served
insidethemagic.net,,98,A+,1,Cloudflare,2026-09-19,100,100,100,100,79,100,97,served,,,,served,robots-allowed,served,served,served,served
deledao.com,,98,A+,0,Fastly,2026-09-19,100,100,100,100,87,100,77,served,,,,served,robots-allowed,served,served,served,served
sitevibes.com,,98,A+,0,Cloudflare,2026-09-19,100,100,100,100,86,100,85,served,,,,served,robots-allowed,served,served,served,served
crypto.news,,98,A+,0,Cloudflare,2026-09-19,100,100,100,100,86,100,93,served,,,,served,robots-allowed,served,served,served,served
hostinet.com,,98,A+,1,,2026-09-19,100,100,100,100,80,100,91,served,,,,served,robots-allowed,served,served,served,served
airlive.net,,98,A+,1,Cloudflare,2026-09-19,100,100,100,100,82,100,91,served,,,,served,robots-allowed,served,served,served,served
pagefreezer.com,,98,A+,0,Cloudflare,2026-09-19,100,100,100,100,84,100,91,served,,,,served,robots-allowed,served,served,served,served
hedera.com,,98,A+,0,Cloudflare,2026-09-19,100,100,100,100,79,100,92,served,,,,served,robots-allowed,served,served,served,served
sellfy.com,,98,A+,0,Cloudflare,2026-09-19,100,100,100,100,86,100,91,served,,,,served,robots-allowed,served,served,served,served
lapresse.tn,,98,A+,0,,2026-09-19,100,100,100,100,93,100,69,served,,,,served,robots-allowed,served,served,served,served
seedr.cc,,98,A+,0,,2026-09-19,100,100,100,100,98,100,73,served,,,,served,robots-allowed,served,served,served,served
streamguys.com,,98,A+,1,,2026-09-19,100,100,100,100,92,100,80,served,,,,served,robots-allowed,served,served,served,served
nookal.com,,98,A+,0,AWS CloudFront,2026-09-19,100,100,100,100,80,100,100,served,,,,served,robots-allowed,served,served,served,served
adskeeper.co.uk,,98,A+,0,Cloudflare,2026-09-19,100,100,100,100,87,100,77,served,,,,served,robots-allowed,served,served,served,served
motorhomefun.co.uk,,98,A+,1,,2026-09-19,100,100,100,100,95,100,73,served,,,,served,robots-allowed,served,served,served,served
surrealdb.com,,98,A+,0,Vercel,2026-09-19,100,100,100,100,82,100,95,served,,,,served,robots-allowed,served,served,served,served
yuma.ai,,98,A+,1,Vercel,2026-09-20,100,100,100,100,81,100,94,served,served,robots-allowed,served,served,robots-allowed,served,served,served,served
name.com,345,97,A+,0,Cloudflare,2026-09-22,100,100,100,100,99,75,100,served,served,robots-allowed,served,served,robots-allowed,served,served,served,served
dynatrace.com,501,97,A+,0,AWS CloudFront,2026-09-22,100,100,100,100,99,75,100,served,served,robots-allowed,served,served,robots-allowed,served,served,served,served
stackadapt.com,665,97,A+,0,,2026-09-22,100,100,100,100,74,100,100,served,served,robots-allowed,served,served,robots-allowed,served,served,served,served
sambad.com,1756,97,A+,0,Cloudflare,2026-09-21,100,100,100,100,96,75,100,served,served,robots-allowed,served,served,robots-allowed,served,served,served,served
iubenda.com,1954,97,A+,0,BunnyCDN,2026-09-21,100,100,100,100,76,100,86,served,served,robots-allowed,served,served,robots-allowed,served,served,served,served
intentiq.com,2098,97,A+,0,AWS CloudFront,2026-09-21,100,100,100,100,74,100,87,served,served,robots-allowed,served,served,robots-allowed,served,served,served,served
cutt.ly,2785,97,A+,0,Cloudflare,2026-09-21,100,100,100,100,96,75,100,served,served,robots-allowed,served,served,robots-allowed,served,served,served,served
libsyn.com,2919,97,A+,0,Cloudflare,2026-09-21,100,100,100,100,69,100,96,served,served,robots-allowed,served,served,robots-allowed,served,served,served,served
dnsimple.com,3034,97,A+,0,,2026-09-21,100,100,100,100,90,75,100,served,served,robots-allowed,served,served,robots-allowed,served,served,served,served
elevenlabs.io,3763,97,A+,0,Google,2026-09-21,100,100,100,100,99,75,83,served,served,robots-allowed,served,served,robots-allowed,served,served,served,served
rtbhouse.com,3792,97,A+,0,Google,2026-09-21,100,100,100,100,99,75,89,served,served,robots-allowed,served,served,robots-allowed,served,served,served,served
xe.com,3897,97,A+,0,AWS CloudFront,2026-09-21,100,100,100,100,99,75,94,served,served,robots-allowed,served,served,robots-allowed,served,served,served,served
hotmart.com,4026,97,A+,0,AWS CloudFront,2026-09-21,100,100,100,100,99,75,100,served,served,robots-allowed,served,served,robots-allowed,served,served,served,served
termly.io,4176,97,A+,0,Cloudflare,2026-09-21,100,100,100,100,99,70,99,served,served,robots-allowed,served,served,robots-allowed,served,served,served,served
adspower.net,4529,97,A+,0,AWS CloudFront,2026-09-21,100,100,100,100,91,75,99,served,served,robots-allowed,served,served,robots-allowed,served,served,served,served
popsci.com,4586,97,A+,0,,2026-09-21,100,100,100,100,72,100,95,served,served,robots-allowed,served,served,robots-allowed,served,served,served,served
zetaglobal.net,5678,97,A+,0,Vercel,2026-09-21,100,100,100,100,96,75,96,served,served,robots-allowed,served,served,robots-allowed,served,served,served,served
tally.so,5849,97,A+,0,Cloudflare,2026-09-21,100,100,100,100,99,75,100,served,served,robots-allowed,served,served,robots-allowed,served,served,served,served
esri.com,6540,97,A+,0,Fastly,2026-09-21,100,100,100,100,98,75,99,served,served,robots-allowed,served,served,robots-allowed,served,served,served,served
programmaticx.ai,7039,97,A+,0,AWS CloudFront,2026-09-21,100,100,100,100,93,75,100,served,served,robots-allowed,served,served,robots-allowed,served,served,served,served
w.org,7186,97,A+,1,,2026-09-18,100,100,100,100,73,100,93,,,,,served,robots-allowed,served,,served,served
olist.com,8588,97,A+,1,Cloudflare,2026-09-21,100,100,100,100,99,75,93,served,served,robots-allowed,served,served,robots-allowed,served,served,served,served
